Elaboracion,Periodo,Pais,Negocio,Concepto,Clasificación,Cohort_Act,Valor,Escenario 
07-01-2025,01-01-2025,CL,PYME,AD Revenue,Recurrencia,<2024,"95,209,666.06565890000",Moderado
07-01-2025,01-01-2025,CL,PYME,AD Revenue,Recurrencia,2024,"158,851,261.59952600000",Moderado
07-01-2025,01-01-2025,CL,PYME,AD Revenue,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Gross Revenue,Activacion,,"252,221,090.97327200000",Moderado
07-01-2025,01-01-2025,CL,PYME,Gross Revenue,Recurrencia,<2024,"586,722,981.30337200000",Moderado
07-01-2025,01-01-2025,CL,PYME,Gross Revenue,Recurrencia,2024,"855,515,360.81094100000",Moderado
07-01-2025,01-01-2025,CL,PYME,Gross Revenue,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Fund,Activacion,,"91,438,487.37067810000",Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Fund,Recurrencia,<2024,"275,246,895.72022000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Fund,Recurrencia,2024,"381,009,170.74966200000",Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Fund,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Risk,Activacion,,"32,421,263.38446000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Risk,Recurrencia,<2024,"75,515,575.18555170000",Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Risk,Recurrencia,2024,"116,858,977.09107000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Cost of Risk,Recurrencia,2025,0.00000000000,Moderado
07-01-2025,01-01-2025,CL,PYME,Margen Financiero,Activacion,,"164,666,599.54565000000",Moderado
07-01-2025,01-01-2025,CL,PYME,Margen Financiero,Recurrencia,<2024,"336,071,938.19923200000",Moderado
07-01-2025,01-01-2025,CL,PYME,Margen Financiero,Recurrencia,2024,"489,001,198.11647800000",Moderado
07-01-2025,01-01-2025,CL,PYME,Margen Financiero,Recurrencia,2025,,Moderado
07-01-2025,01-01-2025,CL,PYME,Resultado Comercial,Activacion,,"134,018,880.17094100000",Moderado
07-01-2025,01-01-2025,CL,PYME,Resultado Comercial,Recurrencia,<2024,"267,795,793.32857100000",Moderado
07-01-2025,01-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2024,"384,302,231.31874200000",Moderado
07-01-2025,01-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2025,,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Active,<2024,"1,046.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Active,2024,"1,982.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Active,2025,818.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,New Active,,417.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Old Active,<2024,"1,046.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Old Active,2024,"1,982.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Old Active,2025,401.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Old Operados,<2024,752.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Old Operados,2024,"1,204.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Old Operados,2025,161.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,% OldOp/OldActive,<2024,0.71892925430,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2024,0.60746720484,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2025,0.40149625935,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Total Operados,<2024,752.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Total Operados,2024,"1,204.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Clientes,Total Operados,2025,578.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto,<2024,158.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto,2024,489.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto,2025,8.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Acum.,<2024,"6,593.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2024,"2,587.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2025,8.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Act,,108.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Rec,<2024,158.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Rec,2024,389.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Bruto Rec,2025,0.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Resucitados,<2024,96.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Resucitados,2024,119.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Resucitados,2025,0.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Neto,<2024,62.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Neto,2024,370.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,Churn Neto,2025,8.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto,<2024,0.14259927798,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto,2024,0.20790816327,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto,2025,0.01955990220,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto Act,,0.26405867971,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto Rec,<2024,0.14259927798,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2024,0.16539115646,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2025,0.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Resurrected,<2024,0.01469912724,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Resurrected,2024,0.05367613893,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Resurrected,2025,0.00000000000,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Neto,<2024,0.05595667870,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Neto,2024,0.15731292517,Moderado
07-01-2025,02-01-2025,CL,PYME,Churn,% Churn Neto,2025,0.01955990220,Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion,Activacion,,"7,885,394,902.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion,Recurrencia,<2024,"23,180,501,619.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion,Recurrencia,2024,"28,302,650,909.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion,Recurrencia,2025,"2,977,612,889.00000000000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion Prom,Activacion,,"18,909,819.90887290000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion Prom,Recurrencia,<2024,"30,825,135.13164890000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion Prom,Recurrencia,2024,"23,507,185.14036540000",Moderado
07-01-2025,02-01-2025,CL,PYME,Originacion Prom,Recurrencia,2025,"18,494,489.99378880000",Moderado
07-01-2025,02-01-2025,CL,PYME,Term,,,43.26034500771,Moderado
07-01-2025,02-01-2025,CL,PYME,Term,Recurrencia,,43.02158123736,Moderado
07-01-2025,02-01-2025,CL,PYME,Term,Activacion,,44.90937563320,Moderado
07-01-2025,02-01-2025,CL,PYME,Term,Recurrencia,<2024,45.13198565408,Moderado
07-01-2025,02-01-2025,CL,PYME,Term,Recurrencia,2024,41.43795015148,Moderado
07-01-2025,02-01-2025,CL,PYME,Term,Recurrencia,2025,41.64488273445,Moderado
07-01-2025,02-01-2025,CL,PYME,Rate All In,,,0.01836285045,Moderado
07-01-2025,02-01-2025,CL,PYME,Rate All In,Recurrencia,,0.01811740518,Moderado
07-01-2025,02-01-2025,CL,PYME,Rate All In,Activacion,,0.01998676929,Moderado
07-01-2025,02-01-2025,CL,PYME,Rate All In,Recurrencia,<2024,0.01781747205,Moderado
07-01-2025,02-01-2025,CL,PYME,Rate All In,Recurrencia,2024,0.01805583675,Moderado
07-01-2025,02-01-2025,CL,PYME,Rate All In,Recurrencia,2025,0.02123018801,Moderado
07-01-2025,02-01-2025,CL,PYME,Int Rate,,,0.01511871408,Moderado
07-01-2025,02-01-2025,CL,PYME,Int Rate,Recurrencia,,0.01494929506,Moderado
07-01-2025,02-01-2025,CL,PYME,Int Rate,Activacion,,0.01623962689,Moderado
07-01-2025,02-01-2025,CL,PYME,Int Rate,Recurrencia,<2024,0.01524193352,Moderado
07-01-2025,02-01-2025,CL,PYME,Int Rate,Recurrencia,2024,0.01448018065,Moderado
07-01-2025,02-01-2025,CL,PYME,Int Rate,Recurrencia,2025,0.01691721003,Moderado
07-01-2025,02-01-2025,CL,PYME,AD Rate,,,0.00324413637,Moderado
07-01-2025,02-01-2025,CL,PYME,AD Rate,Recurrencia,,0.00316811012,Moderado
07-01-2025,02-01-2025,CL,PYME,AD Rate,Activacion,,0.00374714240,Moderado
07-01-2025,02-01-2025,CL,PYME,AD Rate,Recurrencia,<2024,0.00257553854,Moderado
07-01-2025,02-01-2025,CL,PYME,AD Rate,Recurrencia,2024,0.00357565609,Moderado
07-01-2025,02-01-2025,CL,PYME,AD Rate,Recurrencia,2025,0.00431297798,Moderado
07-01-2025,02-01-2025,CL,PYME,Fund Rate,,,0.00819477944,Moderado
07-01-2025,02-01-2025,CL,PYME,Fund Rate,Recurrencia,,0.00827411408,Moderado
07-01-2025,02-01-2025,CL,PYME,Fund Rate,Activacion,,0.00766988441,Moderado
07-01-2025,02-01-2025,CL,PYME,Fund Rate,Recurrencia,<2024,0.00891713350,Moderado
07-01-2025,02-01-2025,CL,PYME,Fund Rate,Recurrencia,2024,0.00777517058,Moderado
07-01-2025,02-01-2025,CL,PYME,Fund Rate,Recurrencia,2025,0.00756805850,Moderado
07-01-2025,02-01-2025,CL,PYME,Spread,,,0.01016807101,Moderado
07-01-2025,02-01-2025,CL,PYME,Spread,Recurrencia,,0.00984329110,Moderado
07-01-2025,02-01-2025,CL,PYME,Spread,Activacion,,0.01231688488,Moderado
07-01-2025,02-01-2025,CL,PYME,Spread,Recurrencia,<2024,0.00890033855,Moderado
07-01-2025,02-01-2025,CL,PYME,Spread,Recurrencia,2024,0.01028066616,Moderado
07-01-2025,02-01-2025,CL,PYME,Spread,Recurrencia,2025,0.01366212951,Moderado
07-01-2025,02-01-2025,CL,PYME,NTR,,,0.01466247533,Moderado
07-01-2025,02-01-2025,CL,PYME,NTR,Recurrencia,,0.01411579826,Moderado
07-01-2025,02-01-2025,CL,PYME,NTR,Activacion,,0.01843812032,Moderado
07-01-2025,02-01-2025,CL,PYME,NTR,Recurrencia,<2024,0.01338966507,Moderado
07-01-2025,02-01-2025,CL,PYME,NTR,Recurrencia,2024,0.01420032440,Moderado
07-01-2025,02-01-2025,CL,PYME,NTR,Recurrencia,2025,0.01896525937,Moderado
07-01-2025,02-01-2025,CL,PYME,Risk Rate,,,0.00258422895,Moderado
07-01-2025,02-01-2025,CL,PYME,Risk Rate,Recurrencia,,0.00248363167,Moderado
07-01-2025,02-01-2025,CL,PYME,Risk Rate,Activacion,,0.00324980218,Moderado
07-01-2025,02-01-2025,CL,PYME,Risk Rate,Recurrencia,<2024,0.00219029922,Moderado
07-01-2025,02-01-2025,CL,PYME,Risk Rate,Recurrencia,2024,0.00270584625,Moderado
07-01-2025,02-01-2025,CL,PYME,Risk Rate,Recurrencia,2025,0.00285672979,Moderado
07-01-2025,02-01-2025,CL,PYME,Interest Revenue,Activacion,,"191,696,973.85240200000",Moderado
07-01-2025,02-01-2025,CL,PYME,Interest Revenue,Recurrencia,<2024,"531,527,916.84652400000",Moderado
07-01-2025,02-01-2025,CL,PYME,Interest Revenue,Recurrencia,2024,"566,080,381.23538900000",Moderado
07-01-2025,02-01-2025,CL,PYME,Interest Revenue,Recurrencia,2025,"69,925,787.42393840000",Moderado
07-01-2025,02-01-2025,CL,PYME,AD Revenue,Activacion,,"44,232,288.37607090000",Moderado
07-01-2025,02-01-2025,CL,PYME,AD Revenue,Recurrencia,<2024,"89,816,074.25750060000",Moderado
07-01-2025,02-01-2025,CL,PYME,AD Revenue,Recurrencia,2024,"139,784,772.93070300000",Moderado
07-01-2025,02-01-2025,CL,PYME,AD Revenue,Recurrencia,2025,"17,827,312.00748550000",Moderado
07-01-2025,02-01-2025,CL,PYME,Gross Revenue,Activacion,,"235,929,262.22847300000",Moderado
07-01-2025,02-01-2025,CL,PYME,Gross Revenue,Recurrencia,<2024,"621,343,991.10402400000",Moderado
07-01-2025,02-01-2025,CL,PYME,Gross Revenue,Recurrencia,2024,"705,865,154.16609100000",Moderado
07-01-2025,02-01-2025,CL,PYME,Gross Revenue,Recurrencia,2025,"87,753,099.43142390000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Fund,Activacion,,"90,537,402.23570240000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Fund,Recurrencia,<2024,"310,964,838.37567300000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Fund,Recurrencia,2024,"303,958,329.92241300000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Fund,Recurrencia,2025,"31,281,898.67693650000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Risk,Activacion,,"38,361,549.11654670000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Risk,Recurrencia,<2024,"76,381,725.61592670000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Risk,Recurrencia,2024,"105,780,895.47032300000",Moderado
07-01-2025,02-01-2025,CL,PYME,Cost of Risk,Recurrencia,2025,"11,808,039.27114330000",Moderado
07-01-2025,02-01-2025,CL,PYME,Margen Financiero,Activacion,,"149,165,497.68073300000",Moderado
07-01-2025,02-01-2025,CL,PYME,Margen Financiero,Recurrencia,<2024,"362,495,435.95549400000",Moderado
07-01-2025,02-01-2025,CL,PYME,Margen Financiero,Recurrencia,2024,"412,931,396.03615200000",Moderado
07-01-2025,02-01-2025,CL,PYME,Margen Financiero,Recurrencia,2025,"57,620,414.02454480000",Moderado
07-01-2025,02-01-2025,CL,PYME,Resultado Comercial,Activacion,,"112,613,680.29612400000",Moderado
07-01-2025,02-01-2025,CL,PYME,Resultado Comercial,Recurrencia,<2024,"288,054,432.61435500000",Moderado
07-01-2025,02-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2024,"312,571,205.75259500000",Moderado
07-01-2025,02-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2025,"46,217,970.91316710000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Active,<2024,"1,018.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Active,2024,"1,834.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Active,2025,"1,146.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,New Active,,412.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Old Active,<2024,"1,018.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Old Active,2024,"1,834.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Old Active,2025,734.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Old Operados,<2024,742.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Old Operados,2024,"1,270.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Old Operados,2025,366.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,% OldOp/OldActive,<2024,0.72888015717,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2024,0.69247546347,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2025,0.49863760218,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Total Operados,<2024,742.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Total Operados,2024,"1,270.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Clientes,Total Operados,2025,778.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto,<2024,134.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto,2024,312.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto,2025,86.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto Acum.,<2024,"6,621.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2024,"2,735.00000000000",Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2025,92.00000000000,Moderado
07-01-2025,03-01-2025,CL,PYME,Churn,Churn Bruto Act,,86.00000000000,Moderado
